title,description,url,text_clean
"Transfer rumours: Kane, Mbappe, Pogba, Varane, Kessie, Hazard, Xhaka","Manchester City are prepared to offer Tottenham a player in their pursuit of Harry Kane, Liverpool eye midfielder Franck Kessie, Paul Pogba rejects Manchester United's contract offer, plus more.",https://www.bbc.co.uk/sport/57923616,"['transfer', 'rumours', 'kane', 'mbappe', 'pogba', 'varane', 'kessie', 'hazard', 'city', 'prepared', 'offer', 'tottenham', 'player', 'pursuit', 'harry', 'kane', 'liverpool', 'eye', 'midfielder', 'franck', 'kessie', 'paul', 'pogba', 'rejects', 'manchester', 'united', 'contract', 'offer', 'plus']"
Twitter and Snap add users as restrictions ease,The social media companies passed analysts' expectations with their latest financial update.,https://www.bbc.co.uk/news/business-57935258,"['twitter', 'snap', 'add', 'users', 'restrictions', 'social', 'media', 'companies', 'passed', 'analysts', 'expectations', 'latest', 'financial', 'update']"
2021/07/22 22:00 GMT,The latest five minute news bulletin from BBC World Service.,https://www.bbc.co.uk/programmes/w172xzjmw7bjvpb,"['latest', 'five', 'minute', 'news', 'bulletin', 'bbc', 'world', 'service']"
Coronavirus: Italy brings in Covid certificate amid spike in infections,"All those aged 12 and over with at least one jab will be able to access bars, cinemas and gyms.",https://www.bbc.co.uk/news/world-europe-57937722,"['coronavirus', 'italy', 'brings', 'covid', 'certificate', 'amid', 'spike', 'aged', 'least', 'one', 'jab', 'able', 'access', 'bars', 'cinemas', 'gyms']"
'Serious' crash as vehicle hits number of people in Pontyclun,"At least five ambulances are at the scene in Llantrisant Road, Pontyclun, near the Windsor pub.",https://www.bbc.co.uk/news/uk-wales-57934076,"['crash', 'vehicle', 'hits', 'number', 'people', 'least', 'five', 'ambulances', 'scene', 'llantrisant', 'road', 'pontyclun', 'near', 'windsor', 'pub']"
Man arrested over 'murder' in Glenrothes,Mark Hacon-Deavin was found injured in Bobligen Way on Saturday and died at the scene.,https://www.bbc.co.uk/news/uk-scotland-57937376,"['man', 'arrested', 'found', 'injured', 'bobligen', 'way', 'saturday', 'died', 'scene']"
Football Manager: Developers working on 'multi-year project' to add women's teams to video game,"The makers of the Football Manager computer game series confirm a ""multi-year project"" to bring women's teams into future releases.",https://www.bbc.co.uk/sport/football/57937562,"['football', 'manager', 'developers', 'working', 'project', 'add', 'women', 'teams', 'video', 'makers', 'football', 'manager', 'computer', 'game', 'series', 'confirm', 'project', 'bring', 'women', 'teams', 'future', 'releases']"
The Hundred - Oval Invincibles v Manchester Originals: Watch highlights of the first men's Hundred match,"Watch the best moments from the opening match of the men's Hundred, as Oval Invincibles beat the Manchester Originals.",https://www.bbc.co.uk/sport/av/cricket/57937643,"['hundred', 'oval', 'invincibles', 'v', 'manchester', 'originals', 'watch', 'highlights', 'first', 'men', 'hundred', 'best', 'moments', 'opening', 'match', 'men', 'hundred', 'oval', 'invincibles', 'beat', 'manchester', 'originals']"
Lions furious at having South African TMO for first Test against Springboks,The British and Irish Lions are furious at the decision to have a South African as the Television Match Official for Saturday's first Test against the Springboks in Cape Town.,https://www.bbc.co.uk/sport/rugby-union/57937313,"['lions', 'furious', 'south', 'african', 'tmo', 'first', 'test', 'british', 'irish', 'lions', 'furious', 'decision', 'south', 'african', 'television', 'match', 'official', 'saturday', 'first', 'test', 'springboks', 'cape', 'town']"
2021/07/22 21:00 GMT,The latest five minute news bulletin from BBC World Service.,https://www.bbc.co.uk/programmes/w172xzjmw7bjqy6,"['latest', 'five', 'minute', 'news', 'bulletin', 'bbc', 'world', 'service']"
Covid in Scotland: Critical workers to be exempt from self-isolation,"A Scottish government announcement is expected on Friday, after the issue led to shortages in supermarkets.",https://www.bbc.co.uk/news/uk-scotland-57937583,"['covid', 'scotland', 'critical', 'workers', 'exempt', 'scottish', 'government', 'announcement', 'expected', 'friday', 'issue', 'led', 'shortages', 'supermarkets']"
UK food workers to be exempt from Covid isolation,"Key parts of the food industry will move to daily Covid testing, the government says, after isolating workers led to supply shortages.",https://www.bbc.co.uk/news/business-57937342,"['uk', 'food', 'workers', 'exempt', 'covid', 'parts', 'food', 'industry', 'move', 'daily', 'covid', 'testing', 'government', 'says', 'isolating', 'workers', 'led', 'supply', 'shortages']"
The Hundred - Oval Invincibles v Manchester Originals: Curran brothers combine to dismiss Harrison,Oval Invincibles' Sam Curran catches Manchester Originals' Calvin Harrison off brother Tom's bowling in the opening men's game of The Hundred.,https://www.bbc.co.uk/sport/av/cricket/57937059,"['hundred', 'oval', 'invincibles', 'v', 'manchester', 'originals', 'curran', 'brothers', 'combine', 'dismiss', 'invincibles', 'sam', 'curran', 'catches', 'manchester', 'originals', 'calvin', 'harrison', 'brother', 'tom', 'bowling', 'opening', 'men', 'game', 'hundred']"
Aberdeen 5-1 Hacken: Lewis Ferguson brace in Europa Conference League win,Aberdeen have almost sealed their place in the third qualifying round of the Europa Conference League after a pleasingly comfortable win over Hacken.,https://www.bbc.co.uk/sport/football/57905775,"['aberdeen', 'hacken', 'lewis', 'ferguson', 'brace', 'europa', 'conference', 'league', 'almost', 'sealed', 'place', 'third', 'qualifying', 'round', 'europa', 'conference', 'league', 'pleasingly', 'comfortable', 'win', 'hacken']"
Racism probe as 'bananas thrown at Cardiff City academy players',Probe as former Cardiff City youth team footballer says he and a team-mate were racially abused.,https://www.bbc.co.uk/news/uk-wales-57934499,"['racism', 'probe', 'thrown', 'cardiff', 'city', 'academy', 'former', 'cardiff', 'city', 'youth', 'team', 'footballer', 'says', 'racially', 'abused']"
Conference League: Hibernian 3-0 Santa Coloma,"Hibernian recover from a first-half red card to beat Santa Coloma in a bad-tempered Conference League qualifying tie, with the team from Andorra finishing with nine men.",https://www.bbc.co.uk/sport/football/57905782,"['conference', 'league', 'hibernian', 'santa', 'recover', 'red', 'card', 'beat', 'santa', 'coloma', 'conference', 'league', 'qualifying', 'tie', 'team', 'andorra', 'finishing', 'nine', 'men']"
The Hundred: Oval Invincibles secure entertaining win over Manchester Originals in first men's game,Oval Invincibles edge out Manchester Originals in an entertaining first men's match of The Hundred at The Oval.,https://www.bbc.co.uk/sport/cricket/57931910,"['hundred', 'oval', 'invincibles', 'secure', 'entertaining', 'win', 'manchester', 'originals', 'first', 'men', 'invincibles', 'edge', 'manchester', 'originals', 'entertaining', 'first', 'men', 'match', 'hundred', 'oval']"
2021/07/22 20:00 GMT,The latest five minute news bulletin from BBC World Service.,https://www.bbc.co.uk/programmes/w172xzjmw7bjm62,"['latest', 'five', 'minute', 'news', 'bulletin', 'bbc', 'world', 'service']"
